id,surahNumber,verseNumber,page,juz,hizb
v4_66,4,66,89,5,9.8
v4_67,4,67,89,5,9.8
v4_68,4,68,89,5,9.8
v4_69,4,69,89,5,9.8
v4_70,4,70,89,5,9.8
v4_71,4,71,89,5,9.8
v4_72,4,72,89,5,9.8
v4_73,4,73,89,5,9.8
v4_74,4,74,89,5,9.8
v4_75,4,75,90,5,9.9
v4_76,4,76,90,5,9.9
v4_77,4,77,90,5,9.9
v4_78,4,78,90,5,9.9
v4_79,4,79,90,5,9.9
v4_80,4,80,91,5,10.0
v4_81,4,81,91,5,10.0
v4_82,4,82,91,5,10.0
v4_83,4,83,91,5,10.0
v4_84,4,84,91,5,10.0
v4_85,4,85,91,5,10.0
v4_86,4,86,91,5,10.0
v4_87,4,87,92,5,10.1
v4_88,4,88,92,5,10.1
v4_89,4,89,92,5,10.1
v4_90,4,90,92,5,10.1
v4_91,4,91,92,5,10.1
v4_92,4,92,93,5,10.2
v4_93,4,93,93,5,10.2
v4_94,4,94,93,5,10.2
v4_95,4,95,94,5,10.3
v4_96,4,96,94,5,10.3
v4_97,4,97,94,5,10.3
v4_98,4,98,94,5,10.3
v4_99,4,99,94,5,10.3
v4_100,4,100,94,5,10.3
v4_101,4,101,94,5,10.3
v4_102,4,102,95,5,10.4
v4_103,4,103,95,5,10.4
v4_104,4,104,95,5,10.4
v4_105,4,105,95,5,10.4
v4_106,4,106,96,5,10.5
v4_107,4,107,96,5,10.5
v4_108,4,108,96,5,10.5
v4_109,4,109,96,5,10.5
v4_110,4,110,96,5,10.5
v4_111,4,111,96,5,10.5
v4_112,4,112,96,5,10.5
v4_113,4,113,96,5,10.5
v4_114,4,114,97,5,10.6
v4_115,4,115,97,5,10.6
v4_116,4,116,97,5,10.6
v4_117,4,117,97,5,10.6
v4_118,4,118,97,5,10.6
v4_119,4,119,97,5,10.6
v4_120,4,120,97,5,10.6
v4_121,4,121,97,5,10.6
v4_122,4,122,98,5,10.7
v4_123,4,123,98,5,10.7
v4_124,4,124,98,5,10.7
v4_125,4,125,98,5,10.7
v4_126,4,126,98,5,10.7
v4_127,4,127,98,5,10.7
v4_128,4,128,99,5,10.8
v4_129,4,129,99,5,10.8
v4_130,4,130,99,5,10.8
v4_131,4,131,99,5,10.8
v4_132,4,132,99,5,10.8
v4_133,4,133,99,5,10.8
v4_134,4,134,99,5,10.8
v4_135,4,135,100,5,10.9
v4_136,4,136,100,5,10.9
v4_137,4,137,100,5,10.9
v4_138,4,138,100,5,10.9
v4_139,4,139,100,5,10.9
v4_140,4,140,100,5,10.9
v4_141,4,141,101,6,11.0
v4_142,4,142,101,6,11.0
v4_143,4,143,101,6,11.0
v4_144,4,144,101,6,11.0
v4_145,4,145,101,6,11.0
v4_146,4,146,101,6,11.0
v4_147,4,147,101,6,11.0
v4_148,4,148,102,6,11.1
v4_149,4,149,102,6,11.1
v4_150,4,150,102,6,11.1
v4_151,4,151,102,6,11.1
v4_152,4,152,102,6,11.1
v4_153,4,153,102,6,11.1
v4_154,4,154,102,6,11.1
v4_155,4,155,103,6,11.2
v4_156,4,156,103,6,11.2
v4_157,4,157,103,6,11.2
v4_158,4,158,103,6,11.2
v4_159,4,159,103,6,11.2
v4_160,4,160,103,6,11.2
v4_161,4,161,103,6,11.2
v4_162,4,162,103,6,11.2
v4_163,4,163,104,6,11.3
v4_164,4,164,104,6,11.3
v4_165,4,165,104,6,11.3
v4_166,4,166,104,6,11.3
v4_167,4,167,104,6,11.3
v4_168,4,168,104,6,11.3
v4_169,4,169,104,6,11.3
v4_170,4,170,104,6,11.3
v4_171,4,171,105,6,11.4
v4_172,4,172,105,6,11.4
v4_173,4,173,105,6,11.4
v4_174,4,174,105,6,11.4
v4_175,4,175,105,6,11.4
v4_176,4,176,106,6,11.5
v5_1,5,1,106,6,11.5
v5_2,5,2,106,6,11.5
v5_3,5,3,107,6,11.6
v5_4,5,4,107,6,11.6
v5_5,5,5,107,6,11.6
v5_6,5,6,108,6,11.7
v5_7,5,7,108,6,11.7
v5_8,5,8,108,6,11.7
v5_9,5,9,108,6,11.7
v5_10,5,10,109,6,11.8
v5_11,5,11,109,6,11.8
v5_12,5,12,109,6,11.8
v5_13,5,13,109,6,11.8
v5_14,5,14,110,6,11.9
v5_15,5,15,110,6,11.9
v5_16,5,16,110,6,11.9
v5_17,5,17,110,6,11.9
v5_18,5,18,111,6,12.0
v5_19,5,19,111,6,12.0
v5_20,5,20,111,6,12.0
v5_21,5,21,111,6,12.0
v5_22,5,22,111,6,12.0
